model,n_stations,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio_or_epsilon,delta_t_or_n_iterations,time,std_time,error_sum_metric,error_max_metric
0,90,traj_iteration,parallel,RK45,5,2,3,8.884917814284563,19.74264109507203,0.0026006291285133485,0.0003337539555328827
0,90,traj_iteration,parallel_limit,RK45,5,2,4,13.026562102138996,19.74264109507203,0.010169007113047673,0.0011178138090443463
0,90,traj_iteration,parallel,RK45,5,1,4,12.54122606664896,19.74264109507203,0.0006923168715330078,3.5559471338805974e-05
0,90,traj_iteration,parallel_limit,RK45,5,1,5,13.311216812580824,19.74264109507203,0.009929938901221886,0.0011001913505835886
0,90,traj_iteration,parallel,RK45,5,0.5,4,11.71503784507513,19.74264109507203,0.0006923168715330078,3.5559471338805974e-05
0,90,traj_iteration,parallel_limit,RK45,5,0.5,5,13.186393171548843,19.74264109507203,0.009929938901221886,0.0011001913505835886
0,90,traj_iteration,parallel,RK45,5,0.25,4,12.27688055485487,19.74264109507203,0.0006923168715330078,3.5559471338805974e-05
0,90,traj_iteration,parallel_limit,RK45,5,0.25,5,12.674247451126575,19.74264109507203,0.009929938901221886,0.0011001913505835886
0,90,traj_iteration,parallel,RK45,10,2,3,13.393202010542154,19.74264109507203,0.0020290174226340807,0.00025366121264212697
0,90,traj_iteration,parallel_limit,RK45,10,2,4,15.348631087690592,19.74264109507203,0.009222260991447677,0.0012310206868631098
0,90,traj_iteration,parallel,RK45,10,1,4,17.929578118026257,19.74264109507203,0.0006262041783494372,2.9654771430827174e-05
0,90,traj_iteration,parallel_limit,RK45,10,1,5,17.890037022531033,19.74264109507203,0.009222260991447677,0.0012310206868631098
0,90,traj_iteration,parallel,RK45,10,0.5,4,17.971841473132372,19.74264109507203,0.0006262041783494372,2.9654771430827174e-05
0,90,traj_iteration,parallel_limit,RK45,10,0.5,5,17.924343265593052,19.74264109507203,0.009222260991447677,0.0012310206868631098
0,90,traj_iteration,parallel,RK45,10,0.25,4,18.082000721246004,19.74264109507203,0.0006262041783494372,2.9654771430827174e-05
0,90,traj_iteration,parallel_limit,RK45,10,0.25,5,17.623389806598425,19.74264109507203,0.009222260991447677,0.0012310206868631098
0,90,traj_iteration,parallel,RK45,15,2,3,18.728861819952726,19.74264109507203,0.0016009325590892935,0.0002142607244320173
0,90,traj_iteration,parallel_limit,RK45,15,2,4,20.05833187699318,19.74264109507203,0.013690860071909637,0.0017945283616302896
0,90,traj_iteration,parallel,RK45,15,1,4,25.842452943325043,19.74264109507203,0.0005335453758748395,2.631752539503723e-05
0,90,traj_iteration,parallel_limit,RK45,15,1,4,19.78292429819703,19.74264109507203,0.013690860071909637,0.0017945283616302896
0,90,traj_iteration,parallel,RK45,15,0.5,4,24.74254273250699,19.74264109507203,0.0005335453758748395,2.631752539503723e-05
0,90,traj_iteration,parallel_limit,RK45,15,0.5,4,21.32924784347415,19.74264109507203,0.013690860071909637,0.0017945283616302896
0,90,traj_iteration,parallel,RK45,15,0.25,4,24.524212263524532,19.74264109507203,0.0005335453758748395,2.631752539503723e-05
0,90,traj_iteration,parallel_limit,RK45,15,0.25,5,23.009670946747065,19.74264109507203,0.013690860071909637,0.0017945283616302896
0,90,traj_iteration,parallel,BDF,5,2,3,18.964730136096478,579.7538934238255,0.0025828691954121446,0.00033103089499642675
0,90,traj_iteration,parallel_limit,BDF,5,2,4,21.767939653247595,579.7538934238255,0.010149839693259948,0.0011171170697971463
0,90,traj_iteration,parallel,BDF,5,1,4,24.446192242205143,579.7538934238255,0.0006803630132827262,3.62056996197173e-05
0,90,traj_iteration,parallel_limit,BDF,5,1,5,22.755376048386097,579.7538934238255,0.009910559113884825,0.001098294249499301
0,90,traj_iteration,parallel,BDF,5,0.5,4,23.440351270139217,579.7538934238255,0.0006803630132827262,3.62056996197173e-05
0,90,traj_iteration,parallel_limit,BDF,5,0.5,5,23.91858034580946,579.7538934238255,0.009910559113884825,0.001098294249499301
0,90,traj_iteration,parallel,BDF,5,0.25,4,24.78386564180255,579.7538934238255,0.0006803630132827262,3.62056996197173e-05
0,90,traj_iteration,parallel_limit,BDF,5,0.25,5,23.428103543817997,579.7538934238255,0.009910559113884825,0.001098294249499301
0,90,traj_iteration,parallel,BDF,10,2,3,60.237152729183435,579.7538934238255,0.0019859771837035813,0.0002497492857784439
0,90,traj_iteration,parallel_limit,BDF,10,2,4,62.72021248564124,579.7538934238255,0.009168907106520697,0.0012281283375306824
0,90,traj_iteration,parallel,BDF,10,1,4,70.86981778219342,579.7538934238255,0.0005884089196642453,2.881256741707757e-05
0,90,traj_iteration,parallel_limit,BDF,10,1,5,66.4599264934659,579.7538934238255,0.009168907106520697,0.0012281283375306824
0,90,traj_iteration,parallel,BDF,10,0.5,4,70.3046492151916,579.7538934238255,0.0005884089196642453,2.881256741707757e-05
0,90,traj_iteration,parallel_limit,BDF,10,0.5,5,68.02719411253929,579.7538934238255,0.009168907106520697,0.0012281283375306824
0,90,traj_iteration,parallel,BDF,10,0.25,4,68.99285051971674,579.7538934238255,0.0005884089196642453,2.881256741707757e-05
0,90,traj_iteration,parallel_limit,BDF,10,0.25,5,67.01670923829079,579.7538934238255,0.009168907106520697,0.0012281283375306824
0,90,traj_iteration,parallel,BDF,15,2,3,104.80245769396424,579.7538934238255,0.001600535543912212,0.0002111187813101497
0,90,traj_iteration,parallel_limit,BDF,15,2,4,82.09547786042094,579.7538934238255,0.013673216901753967,0.0017909802701586274
0,90,traj_iteration,parallel,BDF,15,1,4,132.45124169066548,579.7538934238255,0.0005421006348817341,2.6913117558914732e-05
0,90,traj_iteration,parallel_limit,BDF,15,1,4,82.69455896317959,579.7538934238255,0.013673216901753967,0.0017909802701586274
0,90,traj_iteration,parallel,BDF,15,0.5,4,131.44725569337606,579.7538934238255,0.0005421006348817341,2.6913117558914732e-05
0,90,traj_iteration,parallel_limit,BDF,15,0.5,4,82.24837853014469,579.7538934238255,0.013673216901753967,0.0017909802701586274
0,90,traj_iteration,parallel,BDF,15,0.25,4,130.90338231995702,579.7538934238255,0.0005421006348817341,2.6913117558914732e-05
0,90,traj_iteration,parallel_limit,BDF,15,0.25,5,87.14231926947832,579.7538934238255,0.013673216901753967,0.0017909802701586274
1,87,traj_iteration,parallel,RK45,5,2,3,10.278541073203087,18.066302482038736,0.001983185935756008,0.00023478602317137187
1,87,traj_iteration,parallel_limit,RK45,5,2,4,12.766267836093903,18.066302482038736,0.004122778408671227,0.0006333601138861977
1,87,traj_iteration,parallel,RK45,5,1,4,13.090974424034357,18.066302482038736,0.0006281519504677979,2.8347444168076584e-05
1,87,traj_iteration,parallel_limit,RK45,5,1,5,14.866871029138565,18.066302482038736,0.00386358833328753,0.0005396691178980888
1,87,traj_iteration,parallel,RK45,5,0.5,4,12.964450065046549,18.066302482038736,0.0006281519504677979,2.8347444168076584e-05
1,87,traj_iteration,parallel_limit,RK45,5,0.5,5,14.848756663501263,18.066302482038736,0.00386358833328753,0.0005396691178980888
1,87,traj_iteration,parallel,RK45,5,0.25,4,13.335694637149572,18.066302482038736,0.0006281519504677979,2.8347444168076584e-05
1,87,traj_iteration,parallel_limit,RK45,5,0.25,5,15.477150317281485,18.066302482038736,0.00386358833328753,0.0005396691178980888
1,87,traj_iteration,parallel,RK45,10,2,3,12.319630090147257,18.066302482038736,0.0016354870989559885,0.00019343533924246875
1,87,traj_iteration,parallel_limit,RK45,10,2,4,15.130633659660816,18.066302482038736,0.004230441277736526,0.0005944389414108778
1,87,traj_iteration,parallel,RK45,10,1,4,16.103366661816835,18.066302482038736,0.0005763581978733148,2.6032755880685254e-05
1,87,traj_iteration,parallel_limit,RK45,10,1,5,17.5487910695374,18.066302482038736,0.004108449201590357,0.0005490729172949371
1,87,traj_iteration,parallel,RK45,10,0.5,4,15.875120718032122,18.066302482038736,0.0005763581978733148,2.6032755880685254e-05
1,87,traj_iteration,parallel_limit,RK45,10,0.5,5,19.141622722148895,18.066302482038736,0.004108449201590357,0.0005490729172949371
1,87,traj_iteration,parallel,RK45,10,0.25,4,16.039455827325583,18.066302482038736,0.0005763581978733148,2.6032755880685254e-05
1,87,traj_iteration,parallel_limit,RK45,10,0.25,5,18.008530344814062,18.066302482038736,0.004108449201590357,0.0005490729172949371
1,87,traj_iteration,parallel,RK45,15,2,3,16.82747881114483,18.066302482038736,0.0013424561012956187,0.00015374986565519467
1,87,traj_iteration,parallel_limit,RK45,15,2,4,16.410225339233875,18.066302482038736,0.003958548809815903,0.0005271340039603855
1,87,traj_iteration,parallel,RK45,15,1,4,21.450282409787178,18.066302482038736,0.0005247005455545249,2.2230095378535255e-05
1,87,traj_iteration,parallel_limit,RK45,15,1,4,16.745508410036564,18.066302482038736,0.003958548809815903,0.0005271340039603855
1,87,traj_iteration,parallel,RK45,15,0.5,4,22.14113862067461,18.066302482038736,0.0005247005455545249,2.2230095378535255e-05
1,87,traj_iteration,parallel_limit,RK45,15,0.5,4,16.117958765476942,18.066302482038736,0.003958548809815903,0.0005271340039603855
1,87,traj_iteration,parallel,RK45,15,0.25,4,21.638337142765522,18.066302482038736,0.0005247005455545249,2.2230095378535255e-05
1,87,traj_iteration,parallel_limit,RK45,15,0.25,4,16.78412349894643,18.066302482038736,0.003958548809815903,0.0005271340039603855
1,87,traj_iteration,parallel,BDF,5,2,3,33.535865403711796,293.8020316250622,0.001932656403820315,0.00023102740688317003
1,87,traj_iteration,parallel_limit,BDF,5,2,4,35.88715114444494,293.8020316250622,0.004073407138113707,0.0006384039694573172
1,87,traj_iteration,parallel,BDF,5,1,4,38.95874372497201,293.8020316250622,0.0005791623148926887,2.4814836063401954e-05
1,87,traj_iteration,parallel_limit,BDF,5,1,5,39.47615748271346,293.8020316250622,0.003814176124342917,0.0005433625601433228
1,87,traj_iteration,parallel,BDF,5,0.5,4,39.49611970037222,293.8020316250622,0.0005791623148926887,2.4814836063401954e-05
1,87,traj_iteration,parallel_limit,BDF,5,0.5,5,38.688396502286196,293.8020316250622,0.003814176124342917,0.0005433625601433228
1,87,traj_iteration,parallel,BDF,5,0.25,4,39.349202167242765,293.8020316250622,0.0005791623148926887,2.4814836063401954e-05
1,87,traj_iteration,parallel_limit,BDF,5,0.25,5,39.34295389428735,293.8020316250622,0.003814176124342917,0.0005433625601433228
1,87,traj_iteration,parallel,BDF,10,2,3,36.41660550609231,293.8020316250622,0.0016019920795875145,0.00019362704426233797
1,87,traj_iteration,parallel_limit,BDF,10,2,4,44.77584374323487,293.8020316250622,0.004196803048731154,0.0005975832780951124
1,87,traj_iteration,parallel,BDF,10,1,4,42.092436607927084,293.8020316250622,0.000545598946069962,2.53098034154392e-05
1,87,traj_iteration,parallel_limit,BDF,10,1,5,49.35379070788622,293.8020316250622,0.0040751372679207285,0.0005515160288246966
1,87,traj_iteration,parallel,BDF,10,0.5,4,42.83022962510586,293.8020316250622,0.000545598946069962,2.53098034154392e-05
1,87,traj_iteration,parallel_limit,BDF,10,0.5,5,48.585129499435425,293.8020316250622,0.0040751372679207285,0.0005515160288246966
1,87,traj_iteration,parallel,BDF,10,0.25,4,42.29098931699991,293.8020316250622,0.000545598946069962,2.53098034154392e-05
1,87,traj_iteration,parallel_limit,BDF,10,0.25,5,49.38740365579724,293.8020316250622,0.0040751372679207285,0.0005515160288246966
1,87,traj_iteration,parallel,BDF,15,2,3,63.511408761143684,293.8020316250622,0.0013560128637420694,0.00015461965809951267
1,87,traj_iteration,parallel_limit,BDF,15,2,4,64.64658745005727,293.8020316250622,0.0039654043721622356,0.0005234169875492606
1,87,traj_iteration,parallel,BDF,15,1,4,78.0063490010798,293.8020316250622,0.0005396670970869355,2.290866293796811e-05
1,87,traj_iteration,parallel_limit,BDF,15,1,4,64.40790092945099,293.8020316250622,0.0039654043721622356,0.0005234169875492606
1,87,traj_iteration,parallel,BDF,15,0.5,4,78.88337987288833,293.8020316250622,0.0005396670970869355,2.290866293796811e-05
1,87,traj_iteration,parallel_limit,BDF,15,0.5,4,64.6638426668942,293.8020316250622,0.0039654043721622356,0.0005234169875492606
1,87,traj_iteration,parallel,BDF,15,0.25,4,78.94332370534539,293.8020316250622,0.0005396670970869355,2.290866293796811e-05
1,87,traj_iteration,parallel_limit,BDF,15,0.25,4,63.83479844406247,293.8020316250622,0.0039654043721622356,0.0005234169875492606
2,88,traj_iteration,parallel,RK45,5,2,4,12.523603070527315,18.008866768330336,0.0013656555191828824,0.0001491707872954932
2,88,traj_iteration,parallel_limit,RK45,5,2,4,11.747471202164888,18.008866768330336,0.010834581105327217,0.0014780724527800897
2,88,traj_iteration,parallel,RK45,5,1,4,12.502000138163567,18.008866768330336,0.0013656555191828824,0.0001491707872954932
2,88,traj_iteration,parallel_limit,RK45,5,1,5,13.869906555861235,18.008866768330336,0.008714104864170244,0.001131414357241378
2,88,traj_iteration,parallel,RK45,5,0.5,4,12.477924145758152,18.008866768330336,0.0013656555191828824,0.0001491707872954932
2,88,traj_iteration,parallel_limit,RK45,5,0.5,5,15.048983700573444,18.008866768330336,0.008714104864170244,0.001131414357241378
2,88,traj_iteration,parallel,RK45,5,0.25,5,15.516071446239948,18.008866768330336,0.0007595682687691747,3.973380785260758e-05
2,88,traj_iteration,parallel_limit,RK45,5,0.25,6,16.16309140995145,18.008866768330336,0.008649536899392303,0.001131289555069427
2,88,traj_iteration,parallel,RK45,10,2,3,13.141586869955063,18.008866768330336,0.00555613184823802,0.0007145411338348315
2,88,traj_iteration,parallel_limit,RK45,10,2,4,16.84825549647212,18.008866768330336,0.008236220790621104,0.0011486589337345616
2,88,traj_iteration,parallel,RK45,10,1,4,17.293698027729988,18.008866768330336,0.0010670350910717916,0.00010016059991007427
2,88,traj_iteration,parallel_limit,RK45,10,1,5,21.275543719530106,18.008866768330336,0.006221419459618633,0.0008408433626000515
2,88,traj_iteration,parallel,RK45,10,0.5,4,17.36940699070692,18.008866768330336,0.0010670350910717916,0.00010016059991007427
2,88,traj_iteration,parallel_limit,RK45,10,0.5,5,20.621126420795918,18.008866768330336,0.006221419459618633,0.0008408433626000515
2,88,traj_iteration,parallel,RK45,10,0.25,5,21.01542392000556,18.008866768330336,0.0006707865758383644,3.197126038789664e-05
2,88,traj_iteration,parallel_limit,RK45,10,0.25,5,20.88068824633956,18.008866768330336,0.006221419459618633,0.0008408433626000515
2,88,traj_iteration,parallel,RK45,15,2,3,16.368138443678617,18.008866768330336,0.004737703133774568,0.0006119007617464342
2,88,traj_iteration,parallel_limit,RK45,15,2,4,20.888176422566175,18.008866768330336,0.007546213729083056,0.0010689075724517993
2,88,traj_iteration,parallel,RK45,15,1,4,20.88210428878665,18.008866768330336,0.0009532164181659131,8.584262900197824e-05
2,88,traj_iteration,parallel_limit,RK45,15,1,5,23.852578066289425,18.008866768330336,0.005812631373424698,0.0007943481592887975
2,88,traj_iteration,parallel,RK45,15,0.5,4,20.514148965477943,18.008866768330336,0.0009532164181659131,8.584262900197824e-05
2,88,traj_iteration,parallel_limit,RK45,15,0.5,5,24.897767264395952,18.008866768330336,0.005812631373424698,0.0007943481592887975
2,88,traj_iteration,parallel,RK45,15,0.25,5,26.582213923335075,18.008866768330336,0.0006372333754376935,3.0093576382915837e-05
2,88,traj_iteration,parallel_limit,RK45,15,0.25,5,24.572671800851822,18.008866768330336,0.005812631373424698,0.0007943481592887975
2,88,traj_iteration,parallel,BDF,5,2,4,22.20442944765091,497.6745982654393,0.001321978431471726,0.00014471052729382166
2,88,traj_iteration,parallel_limit,BDF,5,2,4,22.918146211653948,497.6745982654393,0.010785320674863477,0.0014769474999949453
2,88,traj_iteration,parallel,BDF,5,1,4,22.75626814737916,497.6745982654393,0.001321978431471726,0.00014471052729382166
2,88,traj_iteration,parallel_limit,BDF,5,1,5,26.14205341413617,497.6745982654393,0.008663408766183213,0.0011301765667034935
2,88,traj_iteration,parallel,BDF,5,0.5,4,22.711344618350267,497.6745982654393,0.001321978431471726,0.00014471052729382166
2,88,traj_iteration,parallel_limit,BDF,5,0.5,5,26.194951739162207,497.6745982654393,0.008663408766183213,0.0011301765667034935
2,88,traj_iteration,parallel,BDF,5,0.25,5,26.487186949700117,497.6745982654393,0.0007187261614487741,3.877531769813407e-05
2,88,traj_iteration,parallel_limit,BDF,5,0.25,6,31.347269896417856,497.6745982654393,0.008599213784720335,0.0011300532776675986
2,88,traj_iteration,parallel,BDF,10,2,3,55.149319875985384,497.6745982654393,0.005525957649922806,0.0007096991887058109
2,88,traj_iteration,parallel_limit,BDF,10,2,4,61.72274878248572,497.6745982654393,0.008207618265335469,0.0011516356677159863
2,88,traj_iteration,parallel,BDF,10,1,4,71.06906953826547,497.6745982654393,0.0010365457297363983,9.931777924792083e-05
2,88,traj_iteration,parallel_limit,BDF,10,1,5,80.70128613710403,497.6745982654393,0.00618795960792799,0.0008399661335596922
