model,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio,delta_t,time,std_time,error
0,traj_iteration,none,RK45,5,0,0,252.28893812792376,55.15048943297006,0.006587497897151419
0,discrete_step,none,RK45,5,0.1,0.4002203500860868,36.807801340008155,55.15048943297006,0.00622982618655694
0,discrete_step,none,RK45,5,0.05,0.2001101750430434,47.63310623494908,55.15048943297006,0.004064082394218636
0,discrete_step,none,RK45,5,0.025,0.1000550875215217,61.24332724697888,55.15048943297006,0.002444409737507057
0,traj_iteration,none,RK45,10,0,0,350.83379681780934,55.15048943297006,0.00640882427847173
0,discrete_step,none,RK45,10,0.1,0.4002203500860868,50.89202636410482,55.15048943297006,0.006050214583494099
0,discrete_step,none,RK45,10,0.05,0.2001101750430434,65.2029445329681,55.15048943297006,0.0038829802098305456
0,discrete_step,none,RK45,10,0.025,0.1000550875215217,82.62363389111124,55.15048943297006,0.0024335236239806032
0,traj_iteration,none,RK45,15,0,0,327.51327171199955,55.15048943297006,0.00622982618655694
0,discrete_step,none,RK45,15,0.1,0.4002203500860868,55.571679641958326,55.15048943297006,0.005690585520691163
0,discrete_step,none,RK45,15,0.05,0.2001101750430434,70.66155451908708,55.15048943297006,0.0037019008646272306
0,discrete_step,none,RK45,15,0.025,0.1000550875215217,87.37391354516149,55.15048943297006,0.002263347002085009
0,traj_iteration,none,BDF,5,0,0,1275.1453512860462,2574.6539695609827,0.00658720319724923
0,discrete_step,none,BDF,5,0.1,0.4002203500860868,362.4173521590419,2574.6539695609827,0.006229701719225717
0,discrete_step,none,BDF,5,0.05,0.2001101750430434,651.9739229572006,2574.6539695609827,0.004063945848577544
0,discrete_step,none,BDF,5,0.025,0.1000550875215217,1183.9979880449828,2574.6539695609827,0.0024442357232607936
0,traj_iteration,none,BDF,10,0,0,3024.461301276926,2574.6539695609827,0.006408729180900497
0,discrete_step,none,BDF,10,0.1,0.4002203500860868,710.6587307348382,2574.6539695609827,0.006050226774926201
0,discrete_step,none,BDF,10,0.05,0.2001101750430434,1299.9018675391562,2574.6539695609827,0.003882828108532214
0,discrete_step,none,BDF,10,0.025,0.1000550875215217,2342.520365343895,2574.6539695609827,0.002433334742525845
0,traj_iteration,none,BDF,15,0,0,3747.4755938970484,2574.6539695609827,0.006229701719225717
0,discrete_step,none,BDF,15,0.1,0.4002203500860868,984.5229637059383,2574.6539695609827,0.005690598270046336
0,discrete_step,none,BDF,15,0.05,0.2001101750430434,1825.8750515489373,2574.6539695609827,0.003701736070917191
