,,,,time,time,std_time,std_time,error_sum_metric,error_sum_metric,error_max_metric,error_max_metric
,,,,mean,std,mean,std,mean,std,mean,std
ode_method,stations_per_cell,spatial_simplification,delta_t_ratio_or_epsilon,,,,,,,,
BDF,5,none,0.5,460.1023589077446,262.5060577600507,909.0065216086169,664.6475248938051,0.005020030982225519,0.00357156889186893,0.0008764579929021461,0.00029677119696731673
BDF,5,none,1.0,401.78285425652774,226.7790068171106,909.0065216086169,664.6475248938051,0.007026503683330639,0.00493743069369237,0.0013974527872254415,0.0005744557472574618
BDF,5,none,2.0,314.66304901262765,164.13832695890892,909.0065216086169,664.6475248938051,0.011581904260618583,0.006754551915850863,0.0030998279599549834,0.0015721736839025863
BDF,5,strict,0.5,15.792287548050249,9.177688283117007,909.0065216086169,664.6475248938051,0.0418647904209049,0.02025660468743228,0.020351118375877823,0.008651043392993354
BDF,5,strict,1.0,14.492475126387301,8.342544427588617,909.0065216086169,664.6475248938051,0.041831415608925074,0.020357258522815693,0.020276752515062384,0.008693785553865093
BDF,5,strict,2.0,12.551370011947942,7.476147619120888,909.0065216086169,664.6475248938051,0.04211112737138806,0.020059070555322883,0.01992797776880539,0.008904039524762831
BDF,10,none,0.5,859.2236037162065,487.31562968598155,909.0065216086169,664.6475248938051,0.0045311043021639035,0.0032976057187186427,0.000797475539913558,0.000272133552560005
BDF,10,none,1.0,747.236660992197,414.5632275349325,909.0065216086169,664.6475248938051,0.0064560703286680775,0.00462535951572025,0.0012225325246351222,0.0004820214049735545
BDF,10,none,2.0,587.0656626633718,310.14598182112485,909.0065216086169,664.6475248938051,0.010705770757806243,0.00670373150925165,0.002699050032819777,0.001451831971799479
BDF,10,strict,0.5,10.073811064651593,5.6759008201384455,909.0065216086169,664.6475248938051,0.03229028235333575,0.01982506071804005,0.014965049739609803,0.008792088411227774
BDF,10,strict,1.0,9.297231591959896,5.2200595153365645,909.0065216086169,664.6475248938051,0.03228531814165031,0.019843688332697278,0.014934321999794935,0.008785723068661676
BDF,10,strict,2.0,8.258697819194865,4.58094747160909,909.0065216086169,664.6475248938051,0.032270292569891175,0.019896306894392566,0.01482758770762686,0.008757989354184072
BDF,15,none,0.5,1235.7515349204575,713.1479678090255,909.0065216086169,664.6475248938051,0.0041819541074035165,0.003203148229441916,0.0007154753702372454,0.00023722395144940158
BDF,15,none,1.0,1069.1907501232479,598.9628104157929,909.0065216086169,664.6475248938051,0.005919615175232046,0.0044140269937813425,0.0011188533006313412,0.0004530313853518319
BDF,15,none,2.0,848.0391111226976,445.2789024537395,909.0065216086169,664.6475248938051,0.009702068568337163,0.006305826206043978,0.002404063445234049,0.0012577572781537947
BDF,15,strict,0.5,7.670502052489274,4.248142105932632,909.0065216086169,664.6475248938051,0.025529587418070446,0.016399843971714595,0.012087861253961501,0.007241947440999241
BDF,15,strict,1.0,7.148607023555535,3.982477628907285,909.0065216086169,664.6475248938051,0.02552787037434054,0.01640481391845035,0.012079753110396673,0.007239487248820635
BDF,15,strict,2.0,6.518278230379264,3.586497616614295,909.0065216086169,664.6475248938051,0.025528971478487435,0.016415327341359552,0.01205416019895138,0.00723747946975993
RK45,5,none,0.5,104.41952926432177,50.05468616981974,30.682001883318524,22.10268942924576,0.004963890359729528,0.003532694353294773,0.0008722930504605016,0.0002958470244491714
RK45,5,none,1.0,91.57888183933056,43.55864685310279,30.682001883318524,22.10268942924576,0.007008322103958252,0.004949095297493505,0.0013905647001443634,0.0005694616975268822
RK45,5,none,2.0,73.08742081942754,32.14027069224972,30.682001883318524,22.10268942924576,0.011483960200464043,0.006744185388793884,0.0030516725117564927,0.001522803540299807
RK45,5,strict,0.5,10.920561192650796,7.251270149189123,30.682001883318524,22.10268942924576,0.04185699315876345,0.020255367009998162,0.02035399236639832,0.008650108740630921
RK45,5,strict,1.0,10.082656640907338,6.635006075977307,30.682001883318524,22.10268942924576,0.041830120552054054,0.020356061641293246,0.020280306822621816,0.008692837287545907
RK45,5,strict,2.0,8.80193927336144,5.99982321319248,30.682001883318524,22.10268942924576,0.042109035434335605,0.020060118818883373,0.019942317335096167,0.008909653156945039
RK45,10,none,0.5,106.70952484435446,59.8504862284424,30.682001883318524,22.10268942924576,0.004439780830101826,0.0032603422596204647,0.0007861260467735097,0.00026570622593997695
RK45,10,none,1.0,93.491430651281,51.016915356117416,30.682001883318524,22.10268942924576,0.006362999156645337,0.00456449342998125,0.0012125038367988518,0.00048369688505900524
RK45,10,none,2.0,74.92487038941874,39.53725092566775,30.682001883318524,22.10268942924576,0.010653758340742654,0.006712075146796056,0.0026888832472902863,0.0014342455808805496
RK45,10,strict,0.5,5.704994572049383,3.6881660468947466,30.682001883318524,22.10268942924576,0.03229103101143127,0.0198196406425562,0.01496903997825408,0.008789836905036489
RK45,10,strict,1.0,5.297197481466887,3.4179410370655496,30.682001883318524,22.10268942924576,0.032288234444617044,0.019838747480280045,0.014940073746129587,0.008783700336482058
RK45,10,strict,2.0,4.755553244819525,3.025040257276408,30.682001883318524,22.10268942924576,0.032276485369755165,0.019892951541715914,0.014835959321774016,0.008757449021777074
RK45,15,none,0.5,158.23025394114083,129.28637570739116,30.682001883318524,22.10268942924576,0.00409218933431074,0.0031129975083855023,0.0007113720282929661,0.00023795883493836893
RK45,15,none,1.0,138.2010763194197,109.83422266171341,30.682001883318524,22.10268942924576,0.005819663722788335,0.004372734537498335,0.0011079526454026497,0.0004398076225228856
RK45,15,none,2.0,110.99365261781405,84.20998847379276,30.682001883318524,22.10268942924576,0.009660162745643096,0.00628388368743085,0.0024047484589627527,0.0012519250566018004
RK45,15,strict,0.5,3.9725406199411597,2.6394894781424916,30.682001883318524,22.10268942924576,0.02553067352063126,0.016397471929277516,0.012088033249236102,0.0072411885786945965
RK45,15,strict,1.0,3.7329526857289377,2.482443072291513,30.682001883318524,22.10268942924576,0.025529363167910307,0.016402799366469437,0.012081114963622741,0.0072395396232830525
RK45,15,strict,2.0,3.4384012933838397,2.2709127090783303,30.682001883318524,22.10268942924576,0.025530982790245415,0.01641275590822213,0.01205655035828263,0.007237775792761337
