model,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio_or_epsilon,delta_t_or_n_iterations,time,std_time,error_sum_metric,error_max_metric
0,72,traj_iteration,strict,RK45,5,2,5,3.0260836370289326,19.331452146172523,0.02693000646408571,0.007441520286048602
0,72,traj_iteration,strict,RK45,5,1,8,4.74165241420269,19.331452146172523,0.01627170389391158,0.007439435521934642
0,72,traj_iteration,strict,RK45,5,0.5,10,5.73986616358161,19.331452146172523,0.014492511268164554,0.007439433506072197
0,72,discrete_step,strict,RK45,5,0.1,0.3885254727116994,0.7946814224123955,19.331452146172523,0.05328259955928272,0.011675739407523393
0,72,discrete_step,strict,RK45,5,0.05,0.1942627363558497,0.8861014805734158,19.331452146172523,0.05641395783749063,0.012541495186379582
0,72,discrete_step,strict,RK45,5,0.025,0.09713136817792485,1.4294147044420242,19.331452146172523,0.05940238807778517,0.013586330327547885
0,72,traj_iteration,strict,RK45,10,2,9,2.761606838554144,19.331452146172523,0.013893408687638316,0.007829868076919039
0,72,traj_iteration,strict,RK45,10,1,10,3.0159733034670353,19.331452146172523,0.013698277435219177,0.007829868063314847
0,72,traj_iteration,strict,RK45,10,0.5,11,3.2729058265686035,19.331452146172523,0.013666899495928296,0.007829868062932848
0,72,discrete_step,strict,RK45,10,0.1,0.3885254727116994,0.41922205686569214,19.331452146172523,0.053574254481642714,0.012423808316675814
0,72,discrete_step,strict,RK45,10,0.05,0.1942627363558497,0.46287697181105614,19.331452146172523,0.057058668833714625,0.013230466963710252
0,72,discrete_step,strict,RK45,10,0.025,0.09713136817792485,0.7320436052978039,19.331452146172523,0.05994270165109958,0.014137727787410815
0,72,traj_iteration,strict,RK45,15,2,9,2.0043088756501675,19.331452146172523,0.01210694598472168,0.007976141770998533
0,72,traj_iteration,strict,RK45,15,1,10,2.195900537073612,19.331452146172523,0.0120103345891376,0.007976141768487948
0,72,traj_iteration,strict,RK45,15,0.5,11,2.3831753954291344,19.331452146172523,0.011983907400855929,0.007976141768432294
0,72,discrete_step,strict,RK45,15,0.1,0.3885254727116994,0.3118114396929741,19.331452146172523,0.05319558951421257,0.011132467140021024
0,72,discrete_step,strict,RK45,15,0.05,0.1942627363558497,0.3503030762076378,19.331452146172523,0.05699235183284185,0.012293089217084455
0,72,discrete_step,strict,RK45,15,0.025,0.09713136817792485,0.5544464252889156,19.331452146172523,0.059870092346257904,0.013152766993642836
0,72,traj_iteration,strict,BDF,5,2,5,4.785439107567072,406.66214403510094,0.026947301501265234,0.0074046847624469675
0,72,traj_iteration,strict,BDF,5,1,8,7.419381406158209,406.66214403510094,0.016283279910411508,0.007399342743934908
0,72,traj_iteration,strict,BDF,5,0.5,10,9.17473965510726,406.66214403510094,0.014505834884978664,0.007399340859556066
0,72,discrete_step,strict,BDF,5,0.1,0.3885254727116994,1.920311976224184,406.66214403510094,0.053279796397092904,0.011681272784350731
0,72,discrete_step,strict,BDF,5,0.05,0.1942627363558497,2.34717308729887,406.66214403510094,0.05641113748532425,0.012538997376156541
0,72,discrete_step,strict,BDF,5,0.025,0.09713136817792485,3.279722146689892,406.66214403510094,0.05939991396611277,0.013585473593310443
0,72,traj_iteration,strict,BDF,10,2,9,5.148695450276136,406.66214403510094,0.013903320523628844,0.00783766782143137
0,72,traj_iteration,strict,BDF,10,1,10,5.6984925009310246,406.66214403510094,0.013709292815959782,0.007837667808264061
0,72,traj_iteration,strict,BDF,10,0.5,11,6.246812257915735,406.66214403510094,0.013676231149700836,0.007837667807880528
0,72,discrete_step,strict,BDF,10,0.1,0.3885254727116994,1.0022268928587437,406.66214403510094,0.05357343241099149,0.012411996811681128
0,72,discrete_step,strict,BDF,10,0.05,0.1942627363558497,1.1912825480103493,406.66214403510094,0.05705609660907352,0.013225906981449561
