,,,,time,time,std_time,std_time,error_sum_metric,error_sum_metric,error_max_metric,error_max_metric
,,,,mean,std,mean,std,mean,std,mean,std
ode_method,stations_per_cell,spatial_simplification,delta_t_ratio_or_epsilon,,,,,,,,
BDF,5,strict,0.5,14.55723258404586,7.709741920542022,908.7938042691485,657.8202648983981,0.021639658202795464,0.015784138461161442,0.011006027022589904,0.006464547318255844
BDF,5,strict,1.0,12.239106092881759,6.270025991124399,908.7938042691485,657.8202648983981,0.02289436640619253,0.014994081343965968,0.01098316695207426,0.006442398096750757
BDF,5,strict,2.0,8.38079792255998,3.9603756080009296,908.7938042691485,657.8202648983981,0.02939002267754599,0.011574459058989786,0.01102252302502867,0.006397383230191997
BDF,10,strict,0.5,9.578496381082683,5.261074386677621,908.7938042691485,657.8202648983981,0.024109208484807382,0.01803774446524793,0.011441900364137551,0.006769191413862872
BDF,10,strict,1.0,8.76899285216159,4.751813939358591,908.7938042691485,657.8202648983981,0.024148238676396705,0.01798490143433042,0.0114272739463105,0.006748497242059446
BDF,10,strict,2.0,7.781646038951186,4.133378452155955,908.7938042691485,657.8202648983981,0.024427467720192907,0.01776715681194654,0.011394645368603585,0.006693864328115101
BDF,15,strict,0.5,7.2971280258611095,4.00975252362635,908.7938042691485,657.8202648983981,0.020426521198138713,0.015574981093899083,0.01044412295143954,0.006267767009641773
BDF,15,strict,1.0,6.792431083969153,3.7062700724946946,908.7938042691485,657.8202648983981,0.02044541357301868,0.015559449620355506,0.010437722238150959,0.006263405014210758
BDF,15,strict,2.0,6.247416060054745,3.379601932556744,908.7938042691485,657.8202648983981,0.02049882587177472,0.01550647466340513,0.010427215678672358,0.00624877940223592
RK45,5,strict,0.5,9.971327187415254,6.048293116289088,30.728040237110907,21.86573158940184,0.021642899506578245,0.01578501261765848,0.011009711302070619,0.006461766764530353
RK45,5,strict,1.0,8.411583160561051,4.871117039961968,30.728040237110907,21.86573158940184,0.022916370977397817,0.014982767976079859,0.010987535981567226,0.006440355166765045
RK45,5,strict,2.0,5.635261484706747,2.890150932343571,30.728040237110907,21.86573158940184,0.029407751813881514,0.011561505702506174,0.011035354447112502,0.0064011629431200605
RK45,10,strict,0.5,5.525972217172836,3.54220854075851,30.728040237110907,21.86573158940184,0.024111042963823808,0.018046091018091622,0.01144678053122817,0.006771186833672168
RK45,10,strict,1.0,5.1120572697793465,3.2447366049766444,30.728040237110907,21.86573158940184,0.024149786188894184,0.01799518928200144,0.011432646376833314,0.006751819549417474
RK45,10,strict,2.0,4.588101420218799,2.861754532765897,30.728040237110907,21.86573158940184,0.024428676490123223,0.017777899032878283,0.011399671179443543,0.006696570157389607
RK45,15,strict,0.5,3.867260240382383,2.5805316156768687,30.728040237110907,21.86573158940184,0.020422493254912435,0.015581060703504237,0.010449436961500377,0.006271344582449392
RK45,15,strict,1.0,3.6355698254774325,2.4162779803639713,30.728040237110907,21.86573158940184,0.020439982311162043,0.015566840179855887,0.010443322927535793,0.00626665536411957
RK45,15,strict,2.0,3.378638902901491,2.2317494265689346,30.728040237110907,21.86573158940184,0.02049169213813922,0.015515834886962652,0.010432724503303865,0.006252535061364235
